,File,Commits
254,resources/js/utils/score-helper.ts,40
255,resources/lang/fr/notifications.php,40
256,app/Transformers/Multiplayer/UserScoreAggregateTransformer.php,40
257,resources/lang/vi/accounts.php,40
258,resources/css/bem/header-v4.less,40
259,resources/js/models/chat/channel.ts,40
260,app/Models/Beatmap.php,39
261,app/Jobs/EsDocument.php,39
262,resources/js/components/follow-toggle.tsx,39
263,resources/lang/id/community.php,39
264,resources/lang/hr-HR/accounts.php,39
265,resources/lang/de/notifications.php,39
266,resources/lang/hu/beatmaps.php,39
267,resources/lang/it/beatmaps.php,39
268,resources/js/beatmap-discussions-history/main.tsx,39
269,resources/js/modding-profile/posts.tsx,39
270,resources/lang/no/authorization.php,39
271,tests/Controllers/Solo/ScoresControllerTest.php,39
272,app/Singletons/ChatFilters.php,38
273,app/Libraries/UserVerificationState.php,38
274,app/Models/Store/Order.php,38
275,app/Models/Traits/Scoreable.php,38
276,resources/lang/ko/common.php,38
277,resources/js/core-legacy/store-supporter-tag.coffee,38
278,resources/js/entrypoints/app.ts,38
279,resources/lang/zh/beatmaps.php,38
280,resources/css/bem/btn-osu-big.less,38
281,resources/lang/sk/accounts.php,38
282,resources/js/beatmapsets-show/scoreboard/table-row.tsx,38
283,resources/js/beatmapsets-show/scoreboard/top-card.tsx,38
284,resources/lang/pt/beatmaps.php,38
285,resources/lang/tr/authorization.php,38
286,tests/Commands/ModdingRankCommandTest.php,37
287,app/Jobs/RemoveBeatmapsetSoloScores.php,37
288,app/Models/BeatmapPack.php,37
289,resources/lang/fi/contest.php,37
290,resources/lang/id/page_title.php,37
291,resources/js/models/chat/create-announcement.ts,37
292,resources/lang/lv-LV/users.php,37
293,resources/lang/ms-MY/users.php,37
294,resources/lang/hr-HR/authorization.php,37
295,resources/js/components/select-options.tsx,37
296,resources/lang/ar/accounts.php,37
297,resources/lang/ru/beatmaps.php,37
298,resources/lang/lv-LV/authorization.php,37
299,resources/lang/es/model_validation.php,37
300,resources/lang/de/comments.php,37
301,app/Transformers/UserStatisticsTransformer.php,36
302,app/Enums/Ruleset.php,36
303,app/Libraries/OrderCheckout.php,36
304,resources/js/beatmapset-panel/index.tsx,36
305,resources/lang/de/scores.php,36
306,resources/lang/es/page_title.php,36
307,resources/lang/fi/model_validation.php,36
308,resources/js/core-legacy/current-user-observer.coffee,36
309,resources/js/utils/store-cart.ts,36
310,resources/lang/hr-HR/beatmaps.php,36
311,resources/lang/ar/notifications.php,36
312,resources/lang/ja/accounts.php,36
313,resources/lang/ar/beatmaps.php,36
314,resources/js/beatmap-discussions/love-beatmap-dialog.tsx,36
315,resources/js/core/user/user-login.ts,36
316,resources/lang/uk/authorization.php,36
317,resources/lang/be/authorization.php,36
318,resources/js/oauth/new-client.tsx,36
319,resources/js/beatmapsets-show/main.tsx,36
320,resources/lang/ko/beatmapset_events.php,36
321,resources/views/docs/_structures/user_extended.md,36
322,resources/lang/kk-KZ/beatmapsets.php,35
323,app/Http/Controllers/ScorePinsController.php,35
324,app/Models/UserCountryHistory.php,35
325,resources/lang/es/api.php,35
326,resources/lang/fr/scores.php,35
327,resources/lang/ko/scores.php,35
328,app/Transformers/Score/CurrentUserAttributesTransformer.php,35
329,database/factories/Solo/ScoreFactory.php,35
330,resources/js/profile-page/controller.tsx,35
331,resources/js/stores/channel-store.ts,35
332,resources/views/layout/metadata.blade.php,35
333,resources/lang/no/accounts.php,35
334,resources/lang/hu/authorization.php,35
335,resources/lang/lt/beatmaps.php,35
336,resources/lang/pt/authorization.php,35
337,resources/lang/pl/model_validation.php,35
338,app/Libraries/CleanHTML.php,35
339,app/Traits/Uploadable.php,35
340,resources/js/core/osu-audio/main.ts,35
341,resources/lang/fi/quick_search.php,35
342,resources/lang/ko/beatmap_discussions.php,35
343,app/Console/Commands/MigrateFreshAllCommand.php,34
344,app/Http/Controllers/GroupHistoryController.php,34
345,app/Libraries/User/Cover.php,34
346,resources/js/components/follow-user-mapping-button.tsx,34
347,resources/lang/sr/accounts.php,34
348,resources/lang/fi/follows.php,34
349,resources/lang/nl/scores.php,34
350,resources/lang/si-LK/users.php,34
351,resources/lang/sl/users.php,34
352,resources/lang/nl/store.php,34
353,resources/views/store/products/supporter-tag.blade.php,34
354,resources/lang/id/beatmap_discussions.php,34
355,resources/lang/id/wiki.php,34
356,resources/lang/no/notifications.php,34
357,resources/lang/tr/beatmaps.php,34
358,resources/js/components/user-card.tsx,34
359,resources/lang/be/beatmaps.php,34
360,resources/lang/cs/events.php,34
361,resources/lang/uk/beatmaps.php,34
362,resources/js/mp-history/game-header.coffee,34
363,resources/js/profile-page/play-detail.tsx,34
364,resources/lang/th/beatmaps.php,34
365,resources/lang/de/store.php,34
366,resources/lang/el/authorization.php,34
367,resources/lang/fr/store.php,34
368,resources/lang/it/store.php,34
369,resources/js/socket-worker.ts,34
370,resources/lang/fi/comments.php,34
371,resources/views/docs/_structures/user_compact.md,34
372,resources/lang/zh-tw/beatmapsets.php,33
373,app/Http/Controllers/CommentsController.php,33
374,app/Http/Controllers/ContestsController.php,33
375,app/Http/Controllers/PasswordResetController.php,33
376,resources/lang/fr/common.php,33
377,resources/css/bem/store-slider.less,33
378,resources/lang/lt/page_title.php,33
379,resources/lang/ca/notifications.php,33
380,resources/js/beatmap-discussions/mode-switcher.tsx,33
381,resources/lang/en/authorization.php,33
382,resources/lang/lt/comments.php,33
383,database/factories/UserFactory.php,33
384,resources/css/bem/artist.less,33
385,resources/css/bem/account-edit-entry.less,33
386,resources/lang/es/rankings.php,33
387,resources/css/variables.less,32
388,app/Console/Kernel.php,32
389,resources/lang/cs/beatmapsets.php,32
390,resources/lang/ro/beatmapsets.php,32
391,resources/js/interfaces/beatmapset-json.ts,32
392,app/Models/Count.php,32
393,app/Http/Controllers/ScoreTokensController.php,32
394,resources/lang/es/forum.php,32
395,resources/lang/kk-KZ/layout.php,32
396,resources/lang/el/scores.php,32
397,resources/lang/id/artist.php,32
398,resources/lang/ko/page_title.php,32
399,resources/lang/tg-TJ/users.php,32
400,resources/lang/ja/beatmappacks.php,32
401,resources/lang/nl/password_reset.php,32
402,resources/lang/fil/accounts.php,32
403,resources/lang/hu/notifications.php,32
404,resources/lang/id/home.php,32
405,resources/lang/el/beatmaps.php,32
406,resources/js/notifications/notification-controller.ts,32
407,resources/js/profile-page/cover.tsx,32
408,tests/Models/ContestTest.php,32
409,resources/lang/ko/comments.php,32
410,resources/lang/ko/model_validation.php,32
411,resources/js/beatmapsets-show/controller.ts,32
412,resources/js/beatmapsets-show/scoreboard/controller.ts,32
413,resources/js/profile-page/badges.tsx,32
414,resources/js/components/comment-show-more.tsx,32
415,app/Http/Controllers/NewsController.php,31
416,app/Libraries/Elasticsearch/Search.php,31
417,app/Models/Event.php,31
418,app/Models/NewsPost.php,31
419,resources/lang/he/accounts.php,31
420,resources/lang/id/layout.php,31
421,resources/lang/en/scores.php,31
422,resources/js/utils/blackout.ts,31
423,resources/lang/ja/notifications.php,31
424,resources/lang/pt-br/beatmaps.php,31
425,resources/lang/id/password_reset.php,31
426,resources/lang/vi/beatmaps.php,31
427,resources/js/contest-judge/entry.tsx,31
428,resources/js/modding-profile/votes.tsx,31
429,resources/lang/vi/authorization.php,31
430,resources/lang/fi/legacy_irc_key.php,31
431,resources/lang/en/store.php,31
432,tests/Controllers/Multiplayer/RoomsControllerTest.php,31
433,resources/js/beatmapsets-show/scoreboard/mod.tsx,31
434,resources/js/news-show/main.tsx,31
435,resources/lang/lt/beatmapsets.php,30
436,app/Http/Controllers/ChangelogController.php,30
437,app/Libraries/ClientCheck.php,30
438,app/Libraries/LocaleMeta.php,30
439,app/Libraries/StorageWithUrl.php,30
440,app/Models/Model.php,30
441,app/Models/Solo/ScoreData.php,30
442,resources/js/comments-index/index.tsx,30
443,resources/js/comments-show/index.tsx,30
444,resources/lang/ca/artist.php,30
